ACTIVATE,Activeren
Old pin do not match,Oude pincode komt niet overeen
OnDemandTestMovie,Test film
Online base,Online bron
Operator,Operator
PIN incorrect,Foutieve pincode
Parental control,Ouderlijk toezicht
Perform factory reset,Fabrieksinstellingen herstellen
Port {port},Poort {port}
Preferred DNS server,Voorkeur DNS server
Problem with network,Netwerkprobleem
Purchase PIN,Betaalpincode
Radio channels number:,Aantal radio kanalen:
Reboot TV decoder,Set Top Box herstarten
Reboot your TV decoder,Set Top Box herstarten.
Run diagnostics,Diagnose uitvoeren
SC ID (UA),SC ID (UA)
SC Label,SC Label
SETTINGS,Instellingen
STB Upgrade,Ontvanger upgrade
Scan for DVB-s channels,Zenders zoeken
Scan satellite channels,Satelliet kanalen zoeken
Screen ratio,Beeldverhouding
Search OTA upgrade,Software upgrade via Satelliet zoeken
Searching OTA upgrade,Bezig met zoeken (OTA)
Select audio output,Selecteer de audio uitgang
Select language,Kies uw gewenste taal
Select screen ratio,Selecteer de beeldverhouding
Select to check for updates,Controleer voor firmware updates
Select to run bandwidth test,Selecteer om de verbindingstest te doen
Select to run setup wizard,Selecteer om de installatie hulp te starten.
Select to send diagnostics,Selecteer om de diagnose te versturen
Select to test media playback,Selecteer om media test uit te voeren
Select video format,Selecteer het videoformaat
Serial,Serienummer
Setting DiSEqC configuration failed,DiSEqC configuratie mislukt
Settings,Instellingen
Settopbox settings page,Onderstaande knoppen brengen U naar de lokale settopbox instellingen. Gebruik de home-toets om terug te keren.
Settopbox type,Ontvanger type
Setup Wizard,Installatie hulp
Smart card details,Smart card gegevens
Smart card information,Smart card informatie
Smart card is not available,Geen smart card gevonden
Smart card rights,Smart card rechten
Smart cards supported: Explanation of parental control feature,Smart card ondersteuning: Ouderlijk toezicht controle
SmartCard,Smart card
Software version,Software versie
Speedcheck,Test bandbreedte
Status:,Status:
Subnet mask,Subnet mask
Succesfully changed PIN,Pincode aangepast
System details,Systeem details
System information,Systeem informatie
System version,Systeem versie
TV SETTINGS,Tv instellingen
TV channels number:,Aantal TV kanalen:
TV operator:,TV aanbieder:
Test bandwidth,Verbindingstest
Testing,Testen
The pairing code will be valid for 5 minutes,"De vier cijferige code om uw apparaat te koppelen, verloopt binnen 5 minuten."
There is a newer version available: {version},Er is een update beschikbaar: {version}
This feature requires access to the internet connection.,This feature requires access to the internet connection.
Unable to complete channels scanning,Unable to complete channels scanning
Unable to start auto DiSEqC scanning,Auto DiSEqC zoeken niet mogelijk
Unable to start channels scanning,Unable to start channels scanning
Unable to start scanning,Unable to start scanning
Update now,Update uitvoeren
Updater,Vernieuwen
Upgrade scanning has been aborted,Upgrade scan is gestopt
VODTestMovie,Test film
Valid,Beschikbaar
Valid from,Geldig van:
Valid to,Geldig tot:
Video format,Videoformaat
Would you like to perform factory reset?,Wilt u de tv-decoder herstellen naar de fabrieksinstellingen?
Would you like to reboot TV decoder?,Wilt u de Set Top Box opnieuw starten?
Yes,Ja
"Yes, apply the custom configuration","Ja, eigen configuratie gebruiken"
"Yes, apply the default configuration","Ja, standaard configuratie gebruiken"
"Yes, apply the detected configuration","Ja, gevonden instelling gebruiken"
"Yes, reboot now","Ja, opnieuw starten"
"Yes, scan now","Ja, opnieuw scannen"
"Yes, search now","Ja, nu zoeken"
You can pair your device by entering following pairing code inside your application.,Je kan een mobiel apparaat koppelen door de vier cijferige code in de iOS / Android applicatie in te vullen.
You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.,You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.
You can test the stream only for {secs} secs,U kan het kanaal  maximaal {secs} s. testen
You need an Internet connection to change your purchase pin code,U heeft verbinding met het internet nodig om de transactie PIN aan te passen.
Your FSK Level was successfully changed,De leeftijdslimiet is aangepast
Your PG Level was successfully changed,Your PG Level was successfully changed
Your TV decoder is up to date,De Set Top Box bevat de laatste firmware
actions_header,Acties
activate,activeren
deactivate,deactiveren
enter new PIN twice,Vul de nieuwe PIN tweemaal in
enter old PIN,Vul de oude PIN in
failed,Mislukt
never scanned,nooit
old PIN incorrect,De oude pincode is niet juist
production,productie
ratio_16:9,16:9
ratio_4:3,4:3
ratio_DEFAULT,Standaard
ratio_SQUARE,Vierkant
too many tries,te veel pogingen
unknown,onbekend
