Factory settings,Werkseinstellungen
Factory_settings_popup_header,Factory_settings_popup_header
Firmware type,Firmware-Typ
Firmware version,Firmware Version
Followind devices are currently connected. To unpair a device select it and press the OK button on your RCU,"Die folgenden Geräte sind derzeit verbunden. Um ein Gerät abzumelden, wählen Sie dieses aus und besträtigen die Auswahl im Anschluss mit der OK-Taste auf Ihrer Fernbedienung."
Found {tv_num} TV channels and {radio_num} radio channels,Found {tv_num} TV channels and {radio_num} radio channels
GENERAL,Allgemein
Hardware version,Hardware Version
INFO,Systeminfo
INSTALLATION,Installation
IP address,IP Adresse
IP external,IP Extern
IP internal,IP Intern
Install new update,Installieren Sie die Aktualisierung
Language,Sprache
Language change,Sprache wechseln
Last scan:,Letzte Abfrage:
Legal information,Legal information
Legal information content,Legal information content
MAC address,MAC Adresse
MOBILE,Geräte
Make sure that your smart card is not ejected,"Stellen Sie sicher, dass Ihre Smartcard nicht ausgeworfen wird"
Manual configuration,Manuelle Konfiguration
Media test,Medienwiedergabetest
Media test ended,Medien-Wiedergabetest beendet
Minimum Age,Minimum Age
My offers,Meine Angebote
My recordings,Meine Aufnahmen
Network settings,Netzwerkeinstellungen
New PIN inputs do not match,Neue PIN stimmt nicht überein
New PIN must be 4 digits,Neue PIN muss 4 Zeichen enthalten
New PIN must be different from old PIN,Neuer PIN muss sich von altem unterscheiden
No,Nein
No old PIN,Kein alter PIN eingegeben
No rights available,Keine Rechte verfügbar
No upgrade available,Keine Aktualisierung vorhanden
"No, don't scan","Nein, nicht suchen"
"No, don't search","Nein, nicht suchen"
"No, keep my current configuration","Nein, meine aktuelle Konfiguration beibehalten"
"No, keep my current language","Nein, bitte die derzeitge Sprache beibehalten."
Old pin do not match,Alter PIN stimmt nicht überein
OnDemandTestMovie,Testfilm
Online base,Online Basis
Operator,Betreiber
PIN incorrect,Falsche PIN
Parental control,Jugenschutz
Perform factory reset,Auf Werkseinstellungen zurücksetzen
Port {port},Port {port}
Preferred DNS server,Bevorzugter DNS server
Problem with network,Netzwerkproblem
Purchase PIN,Einkaufs-PIN
Radio channels number:,Funkkanäle Anzahl:
Reboot TV decoder,TV Decoder Neustart
Reboot your TV decoder,Starten Sie Ihre TV Decoder neu
Run diagnostics,Diagnosefunktion
SC ID (UA),SC ID (UA)
SC Label,SC Label
SETTINGS,Einstellungen
STB Upgrade,Decoder Aktualisierung
Scan for DVB-s channels,Suchen Sie nach DVB-S-Sender
Scan satellite channels,Suche Satellitenkanälen
Screen ratio,Bildverhältnis wählen
Search OTA upgrade,Decoder Aktualisierung
Searching OTA upgrade,Decoder Aktualisierung
Select audio output,Audioausgang wählen
Select language,Sprache wählen
Select screen ratio,Bildverhältnis wählen
Select to check for updates,Wählen: Auf Updates Prüfen
Select to run bandwidth test,Wählen: Bandbreitentest Ausführen
Select to run setup wizard,Wählen: Einstellungsassistenten Ausführen
Select to send diagnostics,Wählen: Diagnose Senden
Select to test media playback,Wählen: Medienwiedergabe Testen
Select video format,Video-Format wählen
Serial,Seriennummer
Setting DiSEqC configuration failed,Einstellung DiSEqC-Konfiguration fehlgeschlagen
Settings,Einstellungen
Settopbox settings page,Einstellungen der Set-Top-Box: Über die folgenden Optionen gelangen Sie zu den lokalen Einstellungen der Set-Top-Box. Drücken Sie die HOME-Taste um zurückzukehren.
Settopbox type,Decoder-Typ
Setup Wizard,Installationsassistent
Smart card details,Smartcard Einzelheiten
Smart card information,Smartcard-Informationen
Smart card is not available,Smartcard ist nicht verfügbar
Smart card rights,Smart-Card-Rechte
Smart cards supported: Explanation of parental control feature,Chipkarten unterstützt: Erklärung der Kindersicherung
SmartCard,SmartCard
Software version,Software-Version
Speedcheck,Geschwindigkeitstest
Status:,Status:
Subnet mask,Subnetzmaske
Succesfully changed PIN,PIN erfolgreich geändert
System details,System-Einzelheiten
System information,Systeminformationen
System version,System-Version
TV SETTINGS,TV Einstellungen
TV channels number:,Fernsehsender insgesamt:
TV operator:,Betreiber:
Test bandwidth,Internet Bandbreite testen
Testing,Die Verbindungsgeschwindigkeit wird gemessen
The pairing code will be valid for 5 minutes,Der Verbindungscode ist 5 Minuten lang gültig
There is a newer version available: {version},Es ist eine neue Software-Version verfügbar {version}
This feature requires access to the internet connection.,This feature requires access to the internet connection.
Unable to complete channels scanning,Unable to complete channels scanning
Unable to start auto DiSEqC scanning,Auto-DiSEqC-Scanning kann nicht gestartet werden
Unable to start channels scanning,Unable to start channels scanning
Unable to start scanning,Unable to start scanning
Update now,Jetzt aktualisieren
Updater,Aktualisierungen
Upgrade scanning has been aborted,Aktualisierung suchen wurde abgebrochen
VODTestMovie,VOD Testfilm
Valid,Gültig
Valid from,Gültig von
Valid to,Gültig bis
Video format,Video Format
Would you like to perform factory reset?,Möchten Sie auf Werkseinstellungen zurücksetzen?
Would you like to reboot TV decoder?,Möchten Sie den TV-Decoder neu starten
Yes,Ja
"Yes, apply the custom configuration","Ja, die benutzerdefinierte-Konfiguration anwenden"
"Yes, apply the default configuration","Ja, die Standardkonfiguration anwenden"
"Yes, apply the detected configuration","Ja, die erkannte Konfiguration anwenden"
"Yes, reboot now","Ja, jetzt neu starten."
"Yes, scan now","Ja, jetzt scannen"
"Yes, search now","Ja, jetzt suchen"
You can pair your device by entering following pairing code inside your application.,Verbinden Sie Ihre mobilen Geräte in dem Sie Sie einen Verbindungscode generieren und diesen auf Ihrem mobilen Gerät eingeben.
You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.,You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.
You can test the stream only for {secs} secs,Sie können den Stream nur für {secs} Sekunden testen
You need an Internet connection to change your purchase pin code,"Sie benötigen eine Internetverbindung, um Ihren Kauf PIN-Code zu ändern"
Your FSK Level was successfully changed,FSK Altersfreigabe erfolgreich geändert
Your PG Level was successfully changed,Your PG Level was successfully changed
Your TV decoder is up to date,Ihre TV Decoder ist auf dem neuesten Softwarestand.
actions_header,AKTIONEN
activate,aktivieren
deactivate,deaktivieren
enter new PIN twice,Neuen PIN zweimal eingeben
enter old PIN,Alten PIN eingeben
failed,fehlgeschlagen
never scanned,nie gescannt
old PIN incorrect,Alter PIN falsch
production,Produktion
ratio_16:9,Bildgröße: 16:9
ratio_4:3,Bildgröße: 4:3
ratio_DEFAULT,Bildgröße: Standard
ratio_SQUARE,Bildgröße: Quadrat
too many tries,zu viele Versuche
unknown,unbekannt
