Firmware version,Version logicielle
Followind devices are currently connected. To unpair a device select it and press the OK button on your RCU,"Les appareils suivants sont actuellement connectés. Pour désapparier un appareil, sélectionnez-le et appuyez sur le bouton OK de votre télécommande"
Found {tv_num} TV channels and {radio_num} radio channels,Found {tv_num} TV channels and {radio_num} radio channels
GENERAL,Général
Hardware version,Version du matériel
INFO,Informations systèmes
INSTALLATION,Installation
IP address,Adresse IP
IP external,IP externe
IP internal,IP interne
Install new update,Installation nouvelle mise à jour
Language,Langue
Language change,Changement de langue
Last scan:,Dernier balayage:
Legal information,Legal information
Legal information content,Legal information content
MAC address,Adresse MAC
MOBILE,Mobile
Make sure that your smart card is not ejected,Assurez-vous que votre Smartcard n'est pas ejectée
Manual configuration,Configuration manuelle
Media test,Test médias
Media test ended,Test médias terminé
Minimum Age,Minimum Age
My offers,Mes offres
My recordings,Mes enregistrements
Network settings,Paramètres réseau
New PIN inputs do not match,Les nouvelles saisies de code PIN ne correspondent pas
New PIN must be 4 digits,Le nouveau code PIN doit comprendre 4 chiffres
New PIN must be different from old PIN,Le nouveau code PIN doit être différent de l'ancien code PIN
No,Non
No old PIN,Pas d'ancien code PIN
No rights available,Aucuns droits disponibles
No upgrade available,Aucun upgrade disponible
"No, don't scan","Non, ne pas balayer"
"No, don't search","Non, ne pas rechercher"
"No, keep my current configuration","Non, garder ma configuration actuelle"
"No, keep my current language","Non, garder ma langue actuelle"
Old pin do not match,L'ancien code PIN ne correspond pas
OnDemandTestMovie,Film test à la demande
Online base,Base en ligne
Operator,Fournisseur
PIN incorrect,Votre code PIN est incorrect
Parental control,Contrôle parental
Perform factory reset,Réinstaller les paramètres d'origine
Port {port},Port {port}
Preferred DNS server,Serveur DNS préféré
Problem with network,Problème avec le réseau
Purchase PIN,PIN d'achat
Radio channels number:,Numéro chaîne radio:
Reboot TV decoder,Redémarrer décodeur TV
Reboot your TV decoder,Redémarrer votre décodeur TV
Run diagnostics,Exécuter diagnostiques
SC ID (UA),Smartcard ID (UA)
SC Label,Certificat Smartcard
SETTINGS,Paramètres
STB Upgrade,Upgrade STB
Scan for DVB-s channels,Balayage des chaînes DVB-s
Scan satellite channels,Balayage des chaînes satellites
Screen ratio,Format de l'écran
Search OTA upgrade,Recherche d'upgrade OTA
Searching OTA upgrade,Recherche en cours d'ugrade OTA
Select audio output,Sélectionner sortie audio
Select language,Sélectionner langue
Select screen ratio,Sélectionner format de l'écran
Select to check for updates,Sélectionner pour vérifier les mises à jour
Select to run bandwidth test,Sélectionner pour exécuter le test de bande passante
Select to run setup wizard,Sélectionner pour exécuter l'assistant configuration
Select to send diagnostics,Sélectionner pour envoyer des diagnostics
Select to test media playback,Sélectionner pour tester la lecture de médias
Select video format,Sélectionner un format vidéo
Serial,En série
Setting DiSEqC configuration failed,Échec définition configuration DiSEqC
Settings,Paramètres
Settopbox settings page,Les options suivantes vous amèneront aux paramètres locaux du décodeur TV. Appuyez sur HOME pour revenir.
Settopbox type,Type de décodeur
Setup Wizard,Assistant de configuration
Smart card details,Détails de la Smartcard
Smart card information,Informations de la Smartcard
Smart card is not available,Smartcard indisponible
Smart card rights,Droits de la Smartcard
Smart cards supported: Explanation of parental control feature,Inclus dans votre Smartcard : explication de la fonction contrôle parental
SmartCard,SmartCard
Software version,Version du logiciel
Speedcheck,Test de vitesse
Status:,Statut:
Subnet mask,Masque de sous-réseau
Succesfully changed PIN,Code PIN a été changé avec succès
System details,Détails du système
System information,Information système
System version,Version du système
TV SETTINGS,Réglages du téléviseur
TV channels number:,Numéro chaîne TV:
TV operator:,Fourniseur TV:
Test bandwidth,Test bande passante
Testing,Test en cours
The pairing code will be valid for 5 minutes,Le code d'appairage sera valide pendant 5 minutes
There is a newer version available: {version},Une version plus récente est disponible : {version}
This feature requires access to the internet connection.,This feature requires access to the internet connection.
Unable to complete channels scanning,Unable to complete channels scanning
Unable to start auto DiSEqC scanning,Impossible de commencer le balayage automatique du DiSEqC
Unable to start channels scanning,Unable to start channels scanning
Unable to start scanning,Unable to start scanning
Update now,Mettre à jour maintenant
Updater,Mettre à jour
Upgrade scanning has been aborted,Le balayage des upgrades a pris fin inopinément
VODTestMovie,VODTestMovie
Valid,Valide
Valid from,Valide à partir
Valid to,Valide jusqu'à
Video format,Format vidéo
Would you like to perform factory reset?,Voulez-vous effectuer une réinitialisation par défaut?
Would you like to reboot TV decoder?,Voulez-vous redémarrer le décodeur TV?
Yes,Oui
"Yes, apply the custom configuration","Oui, appliquer la configuration personnalisée"
"Yes, apply the default configuration","Oui, appliquer la configuration par défaut"
"Yes, apply the detected configuration","Oui, appliquer la configuration détectée"
"Yes, reboot now","Oui, redémarrer maintenant"
"Yes, scan now","Oui, balayer maintenant"
"Yes, search now","Oui, rechercher maintenant"
You can pair your device by entering following pairing code inside your application.,Vous pouvez appairer votre appareil en introduisant le code d'appairage suivant dans votre application.
You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.,You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.
You can test the stream only for {secs} secs,Vous ne pouvez tester le flux que pendant {secs} secs
You need an Internet connection to change your purchase pin code,Vous devez avoir une connexion internet pour pouvoir changer votre code PIN de payment
Your FSK Level was successfully changed,Contrôle parental changé avec succès
Your PG Level was successfully changed,Your PG Level was successfully changed
Your TV decoder is up to date,Votre décodeur TV est à jour
actions_header,Actions
activate,Activer
deactivate,Désactiver
enter new PIN twice,Introduisez deux fois le nouveau code PIN
enter old PIN,Introduisez ancien code PIN
failed,échec
never scanned,Jamais balayé
old PIN incorrect,ancien code PIN incorrect
production,production
ratio_16:9,16:9
ratio_4:3,4:3
ratio_DEFAULT,Défaut
ratio_SQUARE,Carré
too many tries,Trop de tentatives
unknown,Inconnu
