ADULTVOD,Erwachsenen VoD
Parental control,Jugenschutz
Pause TV buffer reached,Der maximale Speicher für Pause TV wurde erreicht
PauseTV,Pause TV
Play from beginning,Von Anfang an abspielen
Play recording,Aufnahme abspielen
Play video,Video abspielen
Please check your cables and internet connection,Bitte überprüfen Sie Ihre Kabel und Internetverbindung
Please choose a movie deal,Bitte wählen Sie ein Film-Angebot
Please choose payment option,Bitte wählen Sie eine Zahlungsoption
Preparing the recording,Aufnahme vorbereiten
Price,Preis
Price from,Preis von
Program ended,Das Programm ist beendet
RADIO,Radio
RATE,Bewerten
RECORDINGS,Aufnahmen
REMIND,Erinnern
RENT EPISODE,Folge mieten
RENT MOVIE,Film leihen
RENT PROGRAM,Programm leihen
RENTAL_Offers_AcceptBtn,Bezahlung durchführen
RENTAL_Offers_Desc_Deals,"This movie would be available for 30 days after renting. When you start watching this movie, it is possible to watch or restart the movie for {hours} hours before ending the rental period."
RENTAL_Offers_Desc_DealsAndProducts,"Your choice is also part of a package. When you rent the single video its available for 30 days. When you start watching the video, its available for {hours} hours"
RENTAL_Offers_Desc_Products,Your choice is part of a package. The package will give you unlimited access to the content for a certain period of time.
RENTAL_Offers_Discount,Rabatt
RENTAL_Offers_MovieLabel,Single Movie
RENTAL_Offers_Original_Price,Ursprünglicher Preis
RENTAL_Offers_PayMsg1,Im nächsten Schrift werden wir die Beträge wie folgt abbuchen:
RENTAL_Offers_ProductLabel,Package
RENTAL_Offers_Title,Zahlungsmöglichkeiten
RENTAL_Payment_Chosen,Ausgewählt:
RENTAL_Payment_SubTitle,Bitte geben Sie Ihren Transaktions-PIN
RENTAL_Payment_Success,Aufnahme erfolgreich
RENTAL_Payment_Title,Zahlungsbestätigung
RENTAL_Policy_AcceptButton,Bezahlung durchführen
RENTAL_Policy_BackButtton,Zurück
RENTAL_Policy_CheckBoxDescription,Ich habe die allgemeinen Geschäftsbedingungen gelesen und akzeptiert.
RENTAL_Policy_Description1,"Bitte lesen Sie die AGB von M7 durch und wenn Sie sie verstanden und akzeptiert haben, geht es weiter."
RENTAL_Policy_Description2,AGB gültigkeit laut ....
RENTAL_Policy_Title,AGB
RENTAL_Voucher_Cancel,Cancel
RENTAL_Voucher_Proceed,Fortfahren
Record AlreadyModified,Die Aufnahme wurde schon geändert
Record Complete,Aufnahme vollständig
Record DurationLimit,Die maximale Aufnahmezeit wurde erreicht
Record Forbidden,Aufnahme nicht möglich
Record NotFound,Aufnahme nicht gefunden
Record OffersNotConfigured,Verfügbare Aufnahmen sind nicht konfiguriert
Record OverlapLimit,Maximale Aufnahmeüberschneidung
Record Succes,Aufnahme erfolgreich
Recording ended,Aufnahme beendet
Recording error,Aufnahmefehler
Recording failed,Aufnahme fehlgeschlagen
Recording removal failed,Entfernung der Aufnahme fehlgeschlagen
Recording removed,Aufnahme entfernt
"Recording will soon not be possible, delete old recording to free up time","Aufnehmen wird bald nicht mehr möglich sein, bitte alte Aufnahmen löschen, um Aufnahmezeit zu gewinnen"
Remove,Entfernen
Rent failed! Invalid pin!,Leihen ist fehlgeschlagen! Ungültiger PIN!
Rental period,Leihzeitraum
Renting failed,Ausleihen fehlgeschlagen
Restart TV,Restart TV
Resume at {position},Fortsetzen bei {position}
Return by pressing the exit button,Zurück durch Drücken der Home-Taste
Return to the live moment of this channel,Zurück zum Live-Moment dieses Kanals
SCHEDULE RECORDING,Aufnahme programmieren
SC_messaging_EXPIRED,"Ihre Smartcard Rechte sind seit {rightsexpirydate} abgelaufen. Wenn das Problem weiterhin besteht, kontaktieren Sie bitte  {brand}. Mehr Informationen sind über {brandurl} zur Verfügung."
SC_messaging_INVALID_CARD,Ungültiger Smartcard vorhanden
SC_messaging_NEW_CARD,"Ihre Smartcard hat noch keine Rechte . Wenn das Problem weiterhin besteht, kontaktieren Sie bitte {brand}. Mehr Informationen über {brandurl} zur Verfügung."
SC_messaging_NO_CARD,Keine Smartcard erkannt
SC_messaging_close,Schließen
SC_messaging_header,Smartcard Informationen
SEARCH,Suchen
SETTINGS,Einstellungen
SHARE,Teilen
SPORTS,Sport
Saturday,Samstag
Saturday_abbrev,Sa
Scanning for satellite channels has not been performed yet. It should be done in Settings.,Scanning for satellite channels has not been performed yet. It should be done in Settings.
Scheduled recording failed,Geplante Aufnahme fehlgeschlagen
Scheduled recording set,Geplante Aufnahme eingerichtet
Search_keyboard,Tastatursuche
Season,Staffel
September,September
September_abbrev,Sep
Space,Platz
Stop,Stopp
Stop recording,Aufnahme stoppen
Sunday,Sonntag
Sunday_abbrev,So
TV GUIDE,TV Programm (EPG)
TV ON DEMAND,TV On Demand
Teletext,Teletext
The program is now starting on {channelname}. Would you like to zap to the channel?,Das Programm startet jetzt auf {channelname}. Möchten Sie auf diesen Kanal umschalten?
The recording is being prepared for playback,Die Aufnahme wird für Wiedergabe vorbereitet
The recording just ended,Die Aufnahme wurde gerade beendet
"The recording limit of {cur_hours} hours has been recorded. By cleaning up old recordings, you can schedule new ones","Die maximale Aufnahmezeit von {cur_hours} Stunden wurde erreicht. Durch das Löschen alter Aufnahmen, steht Ihnen die Programmierfunktion wieder zur Verfügung."
"The restarted {title} is about to end, what do you want do:","Das Programm {title} endet in Kürze, was möchten Sie tun?"
The stb has been inactive too long and will go into standby,Das Gerät war zu lange inaktiv und geht nun in den Standby-Modus. Drücken Sie eine beliebige Taste um weiterzusehen.
There is new update,Neues Update verfügbar
There is no description available,Keine Beschreibung verfügbar
This channel is not part of your offer,Dieser Kanal gehört nicht zu Ihrem Angebot
This feature is currently not supported,Diese Funktion wird derzeit nicht unterstützt
Thursday,Donnerstag
Thursday_abbrev,Do
Today,Heute
Tomorrow,Morgen
Total Price,Gesamtpreis
Total price for 48h rental period,Gesamtsumme für 48h Leihen:
Trickplay is only supported when you upgrade to {offer_name} offer,"Trickplay wird nur unterstützt, wen Sie auf das Angebot {offer_name} upgraden"
Tuesday,Dienstag
Tuesday_abbrev,Di
Unable to play video,Video kann nicht abgespielt werden
Unable to playback Replay,Wiederholung kann nicht wiederrgegeben werden
Unable to trickplay,Trickplay nicht möglich
Use Voucher,Gutschein verwenden
VIDEO ON DEMAND,Video On Demand
Valid,Gültig
Volume control not supported for this channel,"Lautstärkeregelung wird bei diesem Kanal nicht unterstützt. Bitte nutzen Sie die Fernbedienung Ihres Fernsehgerätes."""
Voucher already activated,Voucher already activated
WATCH EPISODE,Episode anschauen
WATCH MOVIE,Wiedergabe
WATCH PROGRAM,Ansehen
WATCH REPLAY,Neustart ansehen
Watch,Ansehen
Watch the next program in restart mode,Nächtes Programm im Modus Neustarten anschauen
Watch trailer,Vorschau ansehen
Wednesday,Mittwoch
Wednesday_abbrev,Mi
Would you like to delete recording?,Möchten Sie die Aufnahme löschen?
Would you like to resume from {position} or start over?,Möchten Sie die Wiedergabe ab {position} fortsetzen oder neustarten?
Would you like to stop recording?,Möchten Sie die Aufnahme abbrechen?
Yes I want,"Ja, möchte ich!"
"Yes, go back to live TV","Ja, zum Live-TV zurückgehen"
"Yes, jump to live TV","Ja, zum Live-TV umschalten"
"Yes, remove all my recordings","Ja, alle meine Aufnahmen entfernen"
"Yes, zap to other channel","Ja, zum anderen Kanal umschalten"
Yesterday,Gestern
You are about to leave the restart modus. Are you sure you want to continue TV on the live moment?,"Sie sind dabei, den Restart-Modus zu verlassen. Sind Sie sicher, TV im Live-Moment fortzusetzen?"
You are leaving Pause TV,Sie verlassen Pause TV
You are not allowed to record in Pause TV,Die Aufnahme im Pause TV-Modus íst nicht erlaubt
"You can only record a limited amount of tv channels and programs (up to {cur_hours} hours) in your current offer. Do you want to activate the {best_offer_name} offer, please call {callcenter_num}","Im Rahmen Ihres aktuellen Paketes, können Sie eine begrenzte Anzahl an TV Kanälen und Programmen (bis zu {cur_hours} Stunden) aufnehmen. Möchten Sie jetzt das {best_offer_name} Paket aktivieren? Bitte melden Sie sich unter {callcenter_num}"
"You can only record {days} days ahead. Do you want to activate the {best_offer_name} offer, please call {callcenter_num}","Sie können nur {days} Tage im Voraus aufnehmen. Möchten Sie das {best_offer_name} Angebot aktivieren, dann rufen Sie bitte {callcenter_num} an."
You can only record {days} days ahead. Unfortunatly you already reached this limit,Sie können nur {days} Tage im Voraus aufnehmen. Leider haben Sie dieses Limit erreicht.
You can use this voucher for a {deals} movie from {owner},You can use this voucher for a {deals} movie from {owner}
You have reached the beginning of Pause TV,Sie haben den Anfang des Pause TV erreicht
You may now rent this movie with {amount}% discount,Sie können nun diesen Film mit {amount}% Rabatt vermieten
You may now rent this movie with {amount}% discount for {deals} quality,You may now rent this movie with {amount}% discount for {deals} quality
You may now upsell {product} with {amount}% discount,Sie können nun {product} ordern  mit {amount}% Rabatt
Your voucher code is incorrect,Ihren Gutscheincode ist falsch
Your voucher code was accepted,Ihr Gutschein wurde akzeptiert.
back,zurück
cancel,Abbrechen
channels,Kanäle
free,kostenlos
hours,Stunden
minutes,Minuten
movie,Film
next,weiter
player_no_channels_error_header,Kanalliste
player_no_channels_error_message,Kanalliste ist leer
press,Drücken
program,Programm
single movie,Einzelner Film
{dd} days remaining,{dd} Tage verbleibend
{hours} hours remaining,{hours} Stunden verbleibend
{mins} minutes remaining,{mins} Minuten verbleibend
